Meditation,Attention,F8 -T4 ,F7 -T3 
65,47,745,-133
66,49,746,-139
63,46,750,-138
64,48,750,-138
65,51,745,-139
65,49,746,-140
66,50,744,-139
67,49,743,-140
66,50,745,-139
67,51,744,-134
64,49,745,-137
67,51,744,-138
66,48,748,-138
64,49,745,-136
66,52,742,-135
70,50,742,-137
66,53,735,-139
65,55,740,-139
62,54,741,-139
64,52,740,-134
65,52,740,-134
69,53,743,-136
65,45,750,-137
66,46,747,-138
62,50,746,-137
61,53,739,-135
62,51,745,-138
64,49,746,-141
66,51,745,-140
67,53,741,-135
65,51,747,-135
64,50,747,-139
67,52,745,-143
64,52,742,-140
66,46,743,-135
63,47,745,-134
65,46,747,-136
67,47,749,-135
67,54,744,-140
67,52,745,-137
60,51,743,-140
61,52,743,-136
64,54,745,-135
64,48,750,-138
65,46,746,-141
66,47,744,-136
62,50,742,-135
61,50,744,-139
64,50,745,-137
61,52,745,-136
63,53,743,-136
62,51,743,-136
63,49,743,-138
66,48,746,-138
65,49,747,-135
62,49,749,-138
64,50,751,-137
63,52,747,-135
63,52,743,-136
67,51,742,-138
70,52,745,-135
65,49,747,-138
64,50,743,-134
64,49,741,-136
62,47,745,-136
63,50,745,-139
63,56,742,-141
65,52,744,-142
64,51,743,-137
66,49,741,-133
62,49,742,-135
63,52,743,-138
64,52,745,-134
65,52,744,-135
61,49,743,-137
65,52,745,-138
65,50,746,-136
61,54,744,-138
65,51,744,-138
66,53,746,-136
66,52,744,-136
65,55,744,-134
64,49,745,-136
66,47,748,-139
66,52,744,-137
65,50,745,-139
67,50,743,-138
68,47,744,-138
65,52,743,-140
66,53,744,-136
69,52,742,-136
69,49,742,-135
65,49,745,-137
67,49,747,-137
66,48,746,-138
68,49,742,-134
66,46,745,-137
65,49,744,-138
62,51,742,-138
63,53,740,-140
65,53,741,-142
64,54,744,-139
62,52,745,-134
64,51,745,-134
64,53,745,-135
65,52,745,-139
66,51,744,-137
64,52,743,-134
64,50,747,-135
65,50,744,-137
66,49,743,-136
64,56,740,-136
60,54,743,-138
62,52,746,-136
65,51,743,-138
64,52,742,-140
66,52,745,-140
68,46,745,-138
63,50,743,-140
64,49,748,-138
63,52,745,-133
58,50,742,-133
66,48,745,-137
61,51,747,-141
64,51,747,-137
64,52,744,-135
61,47,746,-134
64,50,744,-135
66,49,746,-138
66,49,747,-139
64,50,749,-135
62,47,748,-137
64,53,744,-136
65,53,745,-136
66,50,744,-138
63,49,744,-137
65,49,740,-132
65,52,738,-134
65,53,738,-135
61,51,742,-139
63,50,745,-139
66,47,749,-140
65,47,747,-139
63,48,745,-135
65,52,738,-136
62,56,742,-140
64,50,745,-139
63,48,746,-137
66,46,746,-138
66,52,743,-140
67,51,744,-136
